FECHA_CORTE;CODIGO_ORDEN;ANIO;CONVENIO;TIPO_SUBVENCION;TIPO_CONVOCATORIA;CONVOCATORIA;ESQUEMA_FINANCIERO;ENTIDAD_EJECUTORA_SUBVENCIONADO;TIPO_ENTIDAD ;SEXO;DESCRIPCION;MONEDA;MONTO;IMPORTE_FONDECYT ;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240530;04012-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos Especiales para la reactivación;E067 - Proyectos Especiales;UNIVERSIDAD CESAR VALLEJO;UNIVERSIDAD;MASCULINO;Desarrollo de conservas de anchoveta (Engraulis ringens) y trucha (Oncorhynchus mykiss) saludables con líquidos de gobiernos a base aceite de Sacha Inchi (Plukenetia volubilis) y Tarwi (Lupinus mutabilis) en la Región Ancash.;S/.;185759.00;185759.00;LIMA;LIMA;SAN BORJA;150130
20240530;04013-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos Especiales para la reactivación;E067 - Proyectos Especiales;INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA;INSTITUTO DE INVESTIGACIÓN;MASCULINO;Paquete tecnológico para la recuperación de la salud del suelo con leguminosas de rápido crecimiento para plantaciones forestales maderables, en áreas degradadas por la actividad minera aurífera, bajo un enfoque de reactivación ecosistémica y productiva de bosques en el departamento de Madre de Dios;S/.;350000.00;350000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04014-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos Especiales para la reactivación;E067 - Proyectos Especiales;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;UNIVERSIDAD;MASCULINO;Desarrollo de un insumo alimenticio a partir de residuos agroindustriales provenientes del beneficio húmedo del café para la alimentación animal;S/.;349992.00;349992.00;LIMA;LIMA;SAN BORJA;150130
20240530;04015-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Básica 2021-01;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL DE INGENIERIA;UNIVERSIDAD;MASCULINO;Remoción de contaminantes emergentes en aguas utilizando materiales arcillosos y carbonosos, con ulterior degradación fotoelectrocatalítica;S/.;495435.00;495435.00;LIMA;LIMA;SAN BORJA;150130
20240530;04016-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Básica 2021-01;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA;INSTITUTO DE INVESTIGACIÓN;FEMENINO;Efectos antropogénicos sobre la biodiversidad en la Amazonia peruana evaluados mediante el uso del ADN ambiental (eDNA);S/.;500000.00;500000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04017-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Básica 2021-01;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO GEOFISICO DEL PERU;INSTITUTO DE INVESTIGACIÓN;MASCULINO;Estudio de climatología y pronóstico de vientos en la mesósfera y baja termósfera sobre la costa central y norte del Perú;S/.;429176.00;429176.00;LIMA;LIMA;SAN BORJA;150130
20240530;04018-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Básica 2021-01;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;UNIVERSIDAD;MASCULINO;VIGILANCIA EPIDEMIOLÓGICA DE PATÓGENOS CON POTENCIAL ZOONÓTICO Y DE IMPORTANCIA EN SALUD PÚBLICA EN PRIMATES NO HUMANOS Y EN ANIMALES SILVESTRES DESTINADOS A CONSUMO HUMANO;S/.;488500.00;488500.00;LIMA;LIMA;SAN BORJA;150130
20240530;04019-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Básica 2021-01;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO GEOFISICO DEL PERU;INSTITUTO DE INVESTIGACIÓN;FEMENINO;Impactos del cambio climático en la producción pesquera Amazónica;S/.;460500.00;460500.00;LIMA;LIMA;SAN BORJA;150130
20240530;04020-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Básica 2021-01;E041 - Proyectos de Investigación Básica y Aplicada;COMISION NACIONAL DE INVESTIGACION Y DESARROLLO AEROESPACIAL;ENTIDAD DE GOBIERNO;MASCULINO;Evaluación de sitios altoandinos en el Perú para la instalación del futuro Observatorio de Rayos Gamma SWGO: Southern Wide-field Gamma-ray Observatory;S/.;500000.00;500000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04021-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Básica 2021-01;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;UNIVERSIDAD;MASCULINO;Proteasas ofídicas con acción migrastática sobre líneas celulares de cáncer de mama triple negativo: hacia una mejor comprensión de la metástasis.;S/.;500000.00;500000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04022-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Básica 2021-01;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO GEOLOGICO MINERO Y METALURGICO;INSTITUTO DE INVESTIGACIÓN;MASCULINO;EVALUACIÓN DEL PERMAFROST Y LA COBERTURA NIVAL EN LOS VOLCANES COROPUNA Y CHACHANI Y SU RELACIÓN CON EL NIÑO-OSCILACIÓN SUR (PERMAFROST-ENSO);S/.;371200.00;371200.00;LIMA;LIMA;SAN BORJA;150130
20240530;04023-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Básica 2021-01;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO NACIONAL DE INVESTIGACION EN GLACIARES Y ECOSISTEMAS DE MONTAÑA;INSTITUTO DE INVESTIGACIÓN;FEMENINO;Impactos de la precipitación, registrados con un radar meteorológico, en los cuerpos glaciares Andinos: nevado Huaytapallana.;S/.;100000.00;100000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04024-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO DEL MAR DEL PERU;INSTITUTO DE INVESTIGACIÓN;FEMENINO;DESEMPEÑO REPRODUCTIVO Y CALIDAD DE HUEVOS DE LA PRIMERA GENERACIÓN (F1) DE CHITA ANISOTREMUS SCAPULARIS PARA LA PRODUCCIÓN DE SEMILLA DE CALIDAD CON UNA PROYECCIÓN A ESCALA COMERCIAL DE ESTA ESPECIE;S/.;100000.00;100000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04025-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL DE INGENIERIA;UNIVERSIDAD;MASCULINO;Manufactura Avanzada de Estaciones de recarga rápida de Vehículos Eléctricos basada en Sistemas Fotovoltaicos Inteligentes;S/.;500000.00;500000.00;LIMA;LIMA;SAN BORJA;150130
20240530;04026-2021;2021;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;Proyectos de Investigación Aplicada y Desarrollo Tecnológico 2021-02;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL DE SAN AGUSTIN;UNIVERSIDAD;MASCULINO;ESTUDIO DE MUESTRAS ARQUEOLÓGICAS DEL PATRIMONIO CULTURAL DE LA REGIÓN SUR DEL PERÚ A TRAVÉS DE MÉTODOS FÍSICOS: DATACIÓN, CARACTERIZACIÓN Y PRESERVACIÓN;S/.;500000.00;500000.00;LIMA;LIMA;SAN BORJA;150130
